pmt_id,position_x,position_y,position_z,type_int,type_name
256,8265.28,1438.3500000000001,-541.64,1,NORMAL
257,8265.28,1593.51,-290.58,1,NORMAL
258,8214.19,1263.4,-1301.4699999999998,1,NORMAL
259,8214.199999999999,1418.79,-1050.31,1,NORMAL
260,8214.19,1573.86,-799.01,1,NORMAL
261,8214.199999999999,1729.2599999999998,-547.8499999999999,1,NORMAL
262,8163.110000000001,1554.3100000000002,-1307.68,1,NORMAL
263,8163.099999999999,1709.3799999999999,-1056.38,1,NORMAL
264,8163.110000000001,1864.7800000000002,-805.22,1,NORMAL
265,8112.26,1844.88,-1313.74,1,NORMAL
266,8112.2699999999995,2000.28,-1062.58,1,NORMAL
267,7982.35,2367.17,1272.5,1,NORMAL
268,8041.799999999999,2229.2799999999997,1018.0200000000001,1,NORMAL
269,8101.36,2091.79,763.65,1,NORMAL
270,8160.72,1954.03,509.38,1,NORMAL
271,8220.4,1816.21,254.95999999999998,1,NORMAL
272,8051.07,2079.83,1272.46,1,NORMAL
273,8110.42,1942.06,1018.18,1,NORMAL
274,8169.99,1804.58,763.81,1,NORMAL
275,8229.58,1666.8899999999999,509.59000000000003,1,NORMAL
276,8119.6900000000005,1792.62,1272.62,1,NORMAL
277,8179.28,1654.9299999999998,1018.4000000000001,1,NORMAL
278,8238.85,1517.45,764.0300000000001,1,NORMAL
279,8188.55,1505.48,1272.83,1,NORMAL
280,8248.11,1368.0,1018.4699999999999,1,NORMAL
281,7684.52,2652.26,-1812.7099999999998,1,NORMAL
282,7684.5,2496.81,-2063.94,1,NORMAL
283,7775.77,2837.19,-1059.21,1,NORMAL
284,7775.76,2681.73,-1310.43,1,NORMAL
285,7775.860000000001,2526.69,-1561.54,1,NORMAL
286,7775.75,2371.36,-1812.5700000000002,1,NORMAL
287,7775.71,2216.1099999999997,-2063.94,1,NORMAL
288,7867.0,2556.29,-1059.06,1,NORMAL
289,7866.96,2401.04,-1310.43,1,NORMAL
290,7867.089999999999,2245.79,-1561.3999999999999,1,NORMAL
291,7867.05,2090.54,-1812.77,1,NORMAL
292,7958.3,2275.46,-1059.26,1,NORMAL
293,7958.19,2120.13,-1310.29,1,NORMAL
294,7958.39,1964.96,-1561.6,1,NORMAL
295,8172.960000000001,2034.6100000000001,-36.42,1,NORMAL
296,8081.73,2315.5099999999998,-36.57,1,NORMAL
297,7990.52,2596.21,-36.56,1,NORMAL
298,7899.2,2877.24,-36.51,1,NORMAL
299,7807.99,3157.9300000000003,-36.51,1,NORMAL
300,8121.29,2173.08,-292.22,1,NORMAL
301,8030.05,2453.98,-292.37,1,NORMAL
302,7938.76,2734.81,-292.16999999999996,1,NORMAL
303,7847.5199999999995,3015.71,-292.31,1,NORMAL
304,8069.610000000001,2311.55,-548.02,1,NORMAL
305,7978.32,2592.3700000000003,-547.8199999999999,1,NORMAL
306,7887.08,2873.2799999999997,-547.97,1,NORMAL
307,8018.12,2450.02,-803.42,1,NORMAL
308,7926.88,2730.92,-803.5699999999999,1,NORMAL
309,8125.839999999999,2174.58,255.10000000000002,1,NORMAL
310,7882.83,2871.7700000000004,510.4,1,NORMAL
311,7974.04,2591.07,510.4,1,NORMAL
312,8065.27,2310.17,510.55,1,NORMAL
313,7913.79,2726.6000000000004,765.71,1,NORMAL
314,8005.0199999999995,2445.7,765.8499999999999,1,NORMAL
315,7944.51,2581.36,1020.95,1,NORMAL
316,7718.03,3362.4,254.89999999999998,1,NORMAL
317,7750.74,3215.8999999999996,509.26,1,NORMAL
318,7783.66,3069.6800000000003,763.54,1,NORMAL
319,7816.280000000001,2923.3100000000004,1018.1,1,NORMAL
320,7849.22,2776.88,1272.52,1,NORMAL
321,7637.709999999999,3488.6200000000003,509.41,1,NORMAL
322,7670.299999999999,3342.45,763.8299999999999,1,NORMAL
323,7703.25,3196.03,1018.25,1,NORMAL
324,7735.929999999999,3049.73,1272.46,1,NORMAL
325,7557.2699999999995,3615.17,763.97,1,NORMAL
326,7589.9800000000005,3468.67,1018.34,1,NORMAL
327,7622.66,3322.3700000000003,1272.55,1,NORMAL
328,7476.92,3741.59,1018.34,1,NORMAL
329,7509.629999999999,3595.09,1272.7,1,NORMAL
330,7623.35,3569.09,-290.55,1,NORMAL
331,7532.16,3694.62,-541.87,1,NORMAL
332,7440.96,3820.1499999999996,-792.9300000000001,1,NORMAL
333,7349.610000000001,3945.87,-1044.27,1,NORMAL
334,7258.41,4071.3999999999996,-1295.33,1,NORMAL
335,7661.75,3429.32,-547.97,1,NORMAL
336,7570.57,3554.8500000000004,-799.29,1,NORMAL
337,7479.2,3680.58,-1050.3700000000001,1,NORMAL
338,7388.02,3806.1000000000004,-1301.69,1,NORMAL
339,7700.16,3289.5499999999997,-805.4000000000001,1,NORMAL
340,7608.8,3415.28,-1056.48,1,NORMAL
341,7517.61,3540.8100000000004,-1307.8,1,NORMAL
342,7738.59,3150.1499999999996,-1062.58,1,NORMAL
343,7647.4,3275.67,-1313.8999999999999,1,NORMAL
344,7474.160000000001,3858.7400000000002,-265.15,1,NORMAL
345,7142.709999999999,4364.79,-759.4799999999999,1,NORMAL
346,7233.92,4239.26,-508.41,1,NORMAL
347,7325.11,4113.74,-257.1,1,NORMAL
348,7085.22,4494.22,-500.34,1,NORMAL
349,7176.41,4368.6900000000005,-249.02,1,NORMAL
